store_name,item_code,item_barcode,description,category,department,sub_department,section,quantity,total_sales,rrp,supplier,date_of_sale,unit_price,price_diff,z_score,is_outlier
OUTERING,440110,7149419157291,BID GOLDEN FRY COOKING OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,4.0,4134.47998046875,823.45,BIDCO AFRICA LIMITED,2025-09-26,1033.6199951171875,210.16999511718745,3.8222586042251083,True
OUTERING,450274,5719792554931,FD-WINNIES PURE NATURAL HONEY 1KG,FOODS,BREAKFAST,HONEY,NATURAL HONEY,1.0,836.206787109375,1003.95,WINNIES PURE HEALTH PRODUCTS LIMITED,2025-09-25,836.206787109375,-167.74321289062505,-3.053662425665379,True
OUTERING,555474,5127078156392,HC-CPK STA SOFT ULTRA CONCE LAV DREAM 1L,HOMECARE,SOAPS AND DETERGENTS,FABRIC SOFTENER,CONCENTRATE,1.0,688.7930908203125,889.68,COLGATE PALMOLIVE (EA) LTD,2025-09-25,688.7930908203125,-200.88690917968745,-3.6566935806853866,True
OUTERING,652177,2969996889907,PC-SOFTCARE PREMIUM HIGH COUNT -S 48,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,728.4481811523438,559.42,SOFTCARE KENYA LIMITED,2025-09-23,728.4481811523438,169.0281811523438,3.073706138065041,True
FEDHA,230133,7868299924178,PC-KIM HUGGIES PUR&NAT SIZE1 NEWBORN 26S,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,2.0,1550.0,952.06,KIM-FAY EAST AFRICA LIMITED,2025-09-23,775.0,-177.05999999999995,-3.223176195120717,True
FEDHA,230356,7911575954375,PC-HML SOFTCARE GOLDJUMBOMAXI 64PL64/L56,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1033.619995117188,771.98,SOFTCARE KENYA LIMITED,2025-09-24,1033.619995117188,261.63999511718794,4.758726681840302,True
FEDHA,230362,6570526036297,PC-HML SOFTCARE  GOLD H/COUNT JUNIORXL36,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,2.0,1679.310241699219,588.05,SOFTCARE KENYA LIMITED,2025-09-27,839.6551208496095,251.60512084960953,4.576147715170994,True
FEDHA,230365,4638917830123,PC-HML SOFTCARE GOLD JUMBO MIDI M72/M62,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1292.240966796875,1622.6,SOFTCARE KENYA LIMITED,2025-09-25,1292.240966796875,-330.3590332031249,-6.012367003824753,True
FEDHA,230391,4569849061135,PC-MOLFIX DAY&NIGHT MINI S 3-6KGS TWIN,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,947.4136962890625,678.95,HAYAT KIMYA KENYA HYGIENIC PRODUCTS LIMITED,2025-09-25,947.4136962890625,268.46369628906245,4.882880136642046,True
FEDHA,230405,1672921939495,PC-MOLFIX PANTS MIDI (62+4)*3 JUMBO 6.1-,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER PANTS,1.0,1550.862060546875,1940.8,HAYAT KIMYA KENYA HYGIENIC PRODUCTS LIMITED,2025-09-28,1550.862060546875,-389.93793945312495,-7.096372129186183,True
FEDHA,408701,6448774097122,PC-VELVEX CONFORTA ADULTDIAPERSXTRA LRG,PERSONAL CARE,DIAPERS AND WIPES,ADULT DIAPERS,ADULT DIAPER TAPED,1.0,1050.0,1267.14,CHANDARIA INDUSTRIES LIMITED,2025-09-22,1050.0,-217.1400000000001,-3.9524095456320194,True
FEDHA,411256,9810400618913,FD- HKL FERRERO ROCHER T8 100G OCCASION,FOODS,CONFECTIONERIES,CHOCOLATE,PREMIUM CHOCO,3.0,2521.551635742188,624.01,HASBAH KENYA LTD,2025-09-25,840.5172119140626,216.50721191406262,3.9375607458843342,True
